,Unnamed: 0,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT,name,AST/TOV
6,6,26.0,BOS,NBA,SF,72.0,72.0,32.4,4.6,10.0,0.463,2.2,5.5,0.398,2.4,4.5,0.54,0.5720000000000001,2.4,3.0,0.8109999999999999,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,13.9,17.9,6.4,24.3,jae_crowder,2.0
7,7,27.0,HOU,NBA,PG,81.0,81.0,36.4,8.3,18.9,0.44,3.2,9.3,0.34700000000000003,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,47.0,9.0,56.0,james_harden,1.9649122807017543
6,6,25.0,MIA,NBA,SG,46.0,43.0,30.1,6.1,14.4,0.424,1.8,4.7,0.395,4.3,9.7,0.438,0.488,1.8,2.8,0.6459999999999999,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8,22.6,4.2,26.8,dion_waiters,1.9545454545454544
8,8,28.0,OKC,NBA,PG,81.0,81.0,34.6,10.2,24.0,0.425,2.5,7.2,0.343,7.7,16.8,0.459,0.476,8.8,10.4,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,48.7,11.0,59.7,russell_westbrook,1.9259259259259258
17,17,36.0,GSW,NBA,SF,20.0,5.0,20.5,1.9,4.5,0.422,0.9,2.6,0.34600000000000003,1.0,1.9,0.526,0.522,1.0,1.2,0.87,0.8,3.8,4.6,2.3,0.6,0.5,1.2,2.4,5.7,9.9,4.9,14.8,matt_barnes,1.9166666666666665
8,8,28.0,,NBA,PG,64.0,64.0,32.5,7.2,15.3,0.471,0.2,0.9,0.217,7.0,14.3,0.487,0.477,3.5,4.0,0.8740000000000001,1.0,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18.0,25.5,3.8,29.3,derrick_rose,1.9130434782608698
3,3,23.0,ATL,NBA,PG,79.0,78.0,31.5,6.9,15.4,0.451,1.3,3.7,0.34,5.7,11.6,0.487,0.493,2.8,3.2,0.855,0.5,2.6,3.1,6.3,0.9,0.2,3.3,1.9,17.9,27.7,3.7,31.4,dennis_schroder,1.9090909090909092
0,0,22.0,BRK,NBA,SF,57.0,26.0,21.7,3.0,6.7,0.45,1.0,3.2,0.321,2.0,3.4,0.5710000000000001,0.528,1.2,1.6,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1.0,1.6,8.2,11.4,3.9,15.3,caris_levert,1.9
12,12,32.0,ATL,NBA,SF,62.0,42.0,25.7,2.8,6.4,0.441,0.7,1.9,0.342,2.1,4.4,0.484,0.4920000000000001,0.9,1.2,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,7.2,10.6,5.5,16.1,thabo_sefolosha,1.8888888888888888
3,3,22.0,MIL,NBA,SF,80.0,80.0,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,32.6,10.5,43.1,giannis_antetokounmpo,1.8620689655172415
11,11,31.0,SAC,NBA,SG,61.0,45.0,25.9,3.0,6.9,0.44,1.0,2.5,0.411,2.0,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4,10.400000000000002,2.3,12.700000000000005,arron_afflalo,1.8571428571428574
6,6,27.0,PHO,NBA,PG,66.0,66.0,33.0,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11.0,0.477,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,31.1,6.0,37.1,eric_bledsoe,1.8529411764705883
6,6,26.0,UTA,NBA,SF,73.0,73.0,34.5,7.5,15.8,0.471,2.0,5.1,0.398,5.4,10.7,0.506,0.536,5.0,5.9,0.8440000000000001,0.7,4.7,5.4,3.5,1.0,0.3,1.9,1.6,21.9,27.7,6.0,33.7,gordon_hayward,1.842105263157895
12,12,31.0,,NBA,SF,24.0,4.0,25.4,2.2,5.3,0.406,1.0,2.5,0.4,1.2,2.8,0.412,0.5,0.5,0.7,0.688,1.0,4.4,5.4,1.1,1.3,0.2,0.6,2.2,5.8,8.4,5.9,14.3,pj_tucker,1.8333333333333335
7,7,27.0,DET,NBA,SF,79.0,79.0,32.5,5.3,12.7,0.418,1.5,4.5,0.331,3.8,8.2,0.466,0.477,1.8,2.3,0.784,1.0,3.7,4.6,2.0,0.7,0.3,1.1,2.1,14.0,17.9,4.7,22.6,marcus_morris,1.8181818181818181
11,11,29.0,BOS,NBA,PF,80.0,77.0,20.1,2.7,4.6,0.5760000000000001,0.3,0.8,0.409,2.3,3.8,0.612,0.612,0.8,1.3,0.67,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,6.5,10.6,4.5,15.1,amir_johnson,1.8
3,3,25.0,NOP,NBA,SF,80.0,71.0,29.7,2.3,6.0,0.383,1.2,3.4,0.348,1.1,2.6,0.428,0.481,1.3,1.6,0.805,0.6,3.2,3.8,1.8,0.9,0.4,1.0,2.3,7.0,10.2,4.500000000000001,14.7,solomon_hill,1.8
13,13,31.0,IND,NBA,SG,74.0,33.0,27.0,3.3,7.5,0.443,0.6,1.8,0.319,2.8,5.7,0.483,0.482,1.3,1.7,0.727,0.3,2.5,2.8,3.2,1.1,0.4,1.8,2.0,8.5,13.4,4.0,17.4,monta_ellis,1.777777777777778
1,1,20.0,DEN,NBA,PG,55.0,41.0,25.6,3.8,10.0,0.377,1.0,3.2,0.315,2.8,6.8,0.408,0.428,2.4,3.0,0.784,0.5,2.7,3.2,3.9,0.7,0.2,2.2,1.7,11.0,17.1,3.6000000000000005,20.700000000000006,emmanuel_mudiay,1.7727272727272725
17,17,36.0,SAS,NBA,C,64.0,39.0,25.4,4.7,9.4,0.502,0.9,1.6,0.5379999999999999,3.9,7.8,0.494,0.5479999999999999,2.0,2.9,0.7070000000000001,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4,17.4,7.700000000000001,25.1,pau_gasol,1.769230769230769
4,4,23.0,WAS,NBA,SG,77.0,77.0,34.9,8.3,17.2,0.482,2.9,7.2,0.404,5.4,10.0,0.5379999999999999,0.5660000000000001,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1,28.8,3.8,32.6,bradley_beal,1.75
6,6,24.0,LAC,NBA,SG,74.0,29.0,27.8,4.4,9.9,0.442,1.5,4.0,0.371,2.9,5.8,0.491,0.518,1.8,2.6,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12.0,16.299999999999994,2.6,18.9,austin_rivers,1.7499999999999998
10,10,26.0,UTA,NBA,PG,55.0,9.0,21.9,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1.0,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,12.2,2.8000000000000003,15.000000000000002,shelvin_mack,1.7499999999999998
5,5,26.0,ORL,NBA,C,75.0,55.0,28.8,6.4,13.7,0.468,0.3,1.0,0.307,6.1,12.7,0.481,0.48,1.4,2.1,0.669,2.3,8.0,10.4,2.8,1.0,1.0,1.6,2.4,14.6,20.9,10.0,30.9,nikola_vucevic,1.7499999999999998
11,11,31.0,PHO,NBA,PF,64.0,7.0,21.3,2.5,5.4,0.454,1.2,3.2,0.379,1.3,2.2,0.5589999999999999,0.565,0.7,1.0,0.662,0.5,3.0,3.5,1.9,0.7,0.3,1.1,2.4,6.8,10.0,4.0,14.0,jared_dudley,1.727272727272727
2,2,21.0,ORL,NBA,SF,80.0,72.0,28.7,4.9,10.8,0.454,1.0,3.3,0.28800000000000003,4.0,7.5,0.528,0.499,2.0,2.7,0.7190000000000001,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,16.9,4.9,21.8,aaron_gordon,1.727272727272727
3,3,25.0,MIL,NBA,SG,80.0,80.0,29.2,3.1,6.8,0.455,1.8,4.4,0.406,1.3,2.3,0.5479999999999999,0.588,0.6,0.7,0.81,0.3,2.8,3.1,1.2,0.7,0.2,0.7,1.6,8.5,10.5,3.7,14.2,tony_snell,1.7142857142857144
1,1,20.0,LAL,NBA,PG,63.0,60.0,28.7,5.6,13.8,0.405,2.1,6.1,0.35200000000000004,3.4,7.7,0.447,0.483,2.3,3.0,0.782,0.5,3.0,3.5,4.8,1.4,0.3,2.8,2.1,15.6,22.9,4.7,27.6,dangelo_russell,1.7142857142857144
9,9,31.0,NYK,NBA,C,46.0,46.0,22.1,2.2,4.4,0.49,0.0,0.0,0.0,2.2,4.4,0.493,0.49,0.7,1.7,0.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5.0,11.6,6.7,18.3,joakim_noah,1.6923076923076923
8,8,31.0,MIN,NBA,SG,47.0,33.0,21.9,1.5,4.0,0.374,0.9,2.4,0.386,0.6,1.6,0.35600000000000004,0.4920000000000001,0.3,0.4,0.722,0.3,1.8,2.1,1.0,0.5,0.5,0.6,0.9,4.2,5.9,2.8,8.7,brandon_rush,1.6666666666666667
11,11,31.0,LAL,NBA,SG,60.0,60.0,25.9,4.5,10.6,0.43,2.8,7.0,0.404,1.7,3.5,0.481,0.564,1.3,1.5,0.856,0.4,1.9,2.3,1.0,0.6,0.2,0.6,2.3,13.2,15.0,2.7,17.7,nick_young,1.6666666666666667
5,5,25.0,SAS,NBA,SF,74.0,74.0,33.4,8.6,17.7,0.485,2.0,5.2,0.38,6.6,12.5,0.529,0.541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,31.5,7.2,38.7,kawhi_leonard,1.6666666666666665
7,7,27.0,DET,NBA,PF,75.0,34.0,25.9,4.1,8.6,0.48,0.7,2.2,0.293,3.5,6.4,0.545,0.518,1.3,1.5,0.867,1.4,4.0,5.4,1.5,0.4,0.3,0.9,1.9,10.2,13.7,4.7,18.4,jon_leuer,1.6666666666666665
2,2,21.0,MIN,NBA,SG,47.0,47.0,37.2,6.9,15.1,0.459,2.6,6.6,0.387,4.4,8.5,0.515,0.544,2.5,3.0,0.836,0.4,3.0,3.4,3.0,0.9,0.2,1.8,2.2,18.9,23.5,4.1,27.599999999999994,zach_lavine,1.6666666666666665
18,18,38.0,DAL,NBA,PF,54.0,54.0,26.4,5.5,12.6,0.4370000000000001,1.5,3.9,0.378,4.0,8.7,0.463,0.495,1.8,2.1,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2,16.7,7.399999999999999,24.1,dirk_nowitzki,1.6666666666666665
13,13,35.0,CHI,NBA,SG,60.0,59.0,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,24.7,5.6000000000000005,30.3,dwyane_wade,1.6521739130434783
3,3,25.0,POR,NBA,SG,80.0,80.0,35.0,8.7,18.0,0.48,2.3,5.5,0.421,6.3,12.5,0.506,0.544,3.4,3.7,0.912,0.8,2.9,3.6,3.6,0.9,0.5,2.2,2.5,23.0,28.8,4.3,33.1,cj_mccollum,1.6363636363636362
18,18,36.0,LAC,NBA,SG,82.0,1.0,26.3,4.4,10.6,0.413,1.4,3.9,0.36,3.0,6.7,0.443,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,16.1,2.3,18.4,jamal_crawford,1.625
7,7,27.0,TOR,NBA,SG,74.0,74.0,35.4,9.7,20.9,0.467,0.4,1.7,0.266,9.3,19.2,0.484,0.477,7.4,8.7,0.8420000000000001,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3,33.6,5.6000000000000005,39.2,demar_derozan,1.625
14,14,31.0,LAL,NBA,SF,56.0,49.0,26.5,2.9,7.6,0.387,0.9,2.9,0.309,2.0,4.6,0.436,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,10.5,5.4,15.9,luol_deng,1.625
10,10,28.0,,NBA,SF,63.0,63.0,33.9,5.3,11.9,0.447,2.0,5.1,0.389,3.3,6.8,0.491,0.531,5.5,6.1,0.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2,21.7,5.3,27.0,danilo_gallinari,1.6153846153846154
10,10,31.0,ATL,NBA,PF,69.0,67.0,34.0,6.2,14.1,0.442,1.1,3.5,0.311,5.1,10.6,0.486,0.481,4.5,5.9,0.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1,24.8,8.299999999999999,33.1,paul_millsap,1.6086956521739133
10,10,31.0,ATL,NBA,PF,69.0,67.0,34.0,6.2,14.1,0.442,1.1,3.5,0.311,5.1,10.6,0.486,0.481,4.5,5.9,0.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1,24.8,8.299999999999999,33.1,patty_mills,1.6086956521739133
3,3,24.0,CHO,NBA,PF,62.0,58.0,27.8,4.1,7.1,0.5710000000000001,0.0,0.0,0.0,4.1,7.1,0.5720000000000001,0.5710000000000001,2.1,3.2,0.679,2.2,4.4,6.5,1.6,1.0,0.9,1.0,3.0,10.3,14.7,6.300000000000002,21.0,cody_zeller,1.6
7,7,28.0,NYK,NBA,PF,46.0,15.0,21.0,2.1,5.3,0.398,0.8,1.8,0.447,1.3,3.5,0.371,0.475,0.9,1.1,0.843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6.0,7.800000000000002,3.0,10.8,lance_thomas,1.6
0,0,23.0,PHI,NBA,PF,6.0,1.0,26.2,4.2,9.0,0.463,1.0,3.2,0.316,3.2,5.8,0.5429999999999999,0.519,1.3,1.7,0.8,1.8,3.0,4.8,0.8,0.5,0.3,0.5,2.3,10.7,13.6,3.8,17.4,alex_poythress,1.6
9,9,29.0,MIA,NBA,PF,76.0,5.0,27.4,4.8,10.1,0.479,1.1,3.4,0.34,3.7,6.8,0.5479999999999999,0.535,2.0,2.8,0.7070000000000001,0.9,4.1,4.9,3.6,1.0,1.1,2.3,2.6,12.8,18.6,6.199999999999998,24.8,james_johnson,1.565217391304348
2,2,22.0,LAL,NBA,PF,74.0,73.0,28.8,5.1,10.4,0.488,0.2,0.9,0.27,4.9,9.6,0.507,0.499,2.8,3.8,0.723,2.0,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2,20.1,7.8,27.9,julius_randle,1.565217391304348
8,8,28.0,HOU,NBA,SG,75.0,15.0,31.0,5.5,13.5,0.406,3.3,8.8,0.3720000000000001,2.2,4.7,0.468,0.527,2.0,2.3,0.84,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2.0,16.2,20.0,3.4,23.4,eric_gordon,1.5625
2,2,21.0,MIL,NBA,PF,51.0,50.0,33.9,7.8,16.0,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,4.3,0.743,1.5,4.6,6.2,2.8,1.0,0.4,1.8,2.2,20.1,25.4,6.0,31.4,jabari_parker,1.5555555555555554
4,4,25.0,MIL,NBA,SF,29.0,23.0,30.7,5.2,11.5,0.45,1.6,3.6,0.433,3.6,7.9,0.459,0.518,2.8,3.2,0.88,0.4,3.9,4.2,3.4,1.4,0.2,2.2,2.7,14.7,19.7,5.5,25.2,khris_middleton,1.5454545454545452
3,3,25.0,BOS,NBA,C,75.0,6.0,20.5,3.5,6.8,0.512,0.9,2.6,0.354,2.6,4.2,0.608,0.579,1.2,1.6,0.732,1.0,3.8,4.8,2.0,0.6,0.4,1.3,2.8,9.0,12.7,4.8,17.5,kelly_olynyk,1.5384615384615383
5,5,26.0,DEN,NBA,C,27.0,10.0,23.4,3.7,6.7,0.547,0.0,0.0,0.0,3.7,6.7,0.55,0.547,1.7,2.8,0.618,1.9,4.6,6.4,2.6,0.7,1.1,1.7,2.9,9.1,14.5,6.4,20.9,mason_plumlee,1.5294117647058825
5,5,26.0,DEN,NBA,C,27.0,10.0,23.4,3.7,6.7,0.547,0.0,0.0,0.0,3.7,6.7,0.55,0.547,1.7,2.8,0.618,1.9,4.6,6.4,2.6,0.7,1.1,1.7,2.9,9.1,14.5,6.4,20.9,marshall_plumlee,1.5294117647058825
0,0,19.0,DEN,NBA,SG,82.0,10.0,21.5,3.6,8.9,0.404,1.4,4.2,0.334,2.2,4.7,0.466,0.483,1.3,1.5,0.883,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9,13.2,3.0,16.200000000000006,jamal_murray,1.5000000000000002
7,7,25.0,PHO,NBA,SG,54.0,5.0,21.1,3.9,9.7,0.398,0.8,2.6,0.324,3.0,7.1,0.425,0.441,2.4,2.9,0.857,0.5,1.7,2.2,2.4,0.5,0.1,1.6,1.6,11.0,14.7,2.3000000000000003,17.0,brandon_knight,1.4999999999999998
3,3,24.0,POR,NBA,SG,79.0,7.0,28.5,3.8,8.2,0.468,1.7,3.8,0.444,2.1,4.4,0.49,0.5720000000000001,1.3,1.6,0.847,0.2,2.6,2.9,1.2,0.7,0.3,0.8,2.2,10.7,12.499999999999998,3.6,16.099999999999998,allen_crabbe,1.4999999999999998
9,9,29.0,NOP,NBA,SF,66.0,35.0,25.0,2.6,5.4,0.485,1.1,2.7,0.392,1.6,2.7,0.579,0.584,0.2,0.4,0.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6,8.2,4.3,12.5,dante_cunningham,1.4999999999999998
9,9,27.0,SAC,NBA,SF,14.0,6.0,22.4,4.2,10.2,0.413,1.5,3.4,0.438,2.7,6.8,0.4,0.486,1.7,2.4,0.706,0.5,3.1,3.6,2.4,0.9,0.4,1.6,1.4,11.6,15.3,4.4,19.7,tyreke_evans,1.4999999999999998
2,2,23.0,PHI,NBA,SG,80.0,27.0,27.4,3.1,7.9,0.396,1.7,4.5,0.368,1.5,3.4,0.433,0.5,1.5,1.9,0.813,0.3,2.6,2.8,2.4,0.6,0.4,1.6,1.8,9.5,13.0,3.6,16.6,nik_stauskas,1.4999999999999998
3,3,27.0,MIN,NBA,PF,82.0,82.0,32.4,4.0,8.1,0.502,0.2,0.5,0.3720000000000001,3.9,7.5,0.511,0.514,1.7,2.0,0.8140000000000001,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10.0,14.8,7.899999999999999,22.7,gorgui_dieng,1.4615384615384615
2,2,24.0,UTA,NBA,SG,59.0,55.0,27.0,4.6,11.3,0.408,1.9,5.2,0.371,2.7,6.1,0.44,0.494,1.5,1.9,0.7829999999999999,0.3,3.2,3.4,1.6,0.6,0.2,1.1,2.2,12.7,15.1,4.0,19.1,rodney_hood,1.4545454545454546
3,3,24.0,OKC,NBA,SG,67.0,67.0,33.2,6.1,13.9,0.442,1.9,5.3,0.361,4.3,8.7,0.491,0.51,1.7,2.3,0.753,0.6,3.8,4.3,2.6,1.2,0.3,1.8,2.3,15.9,19.9,5.3,25.2,victor_oladipo,1.4444444444444444
12,12,28.0,PHI,NBA,PG,3.0,1.0,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3.0,9.0,0.333,0.375,3.0,3.3,0.9,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0,17.6,3.0,20.6,jerryd_bayless,1.4333333333333333
17,17,36.0,CLE,NBA,SF,79.0,13.0,20.4,1.9,4.3,0.446,0.8,2.4,0.333,1.2,2.0,0.58,0.536,1.0,1.4,0.741,0.4,2.2,2.6,1.0,0.3,0.1,0.7,1.9,5.7,7.399999999999999,2.6,10.0,richard_jefferson,1.4285714285714286
4,4,24.0,ORL,NBA,SG,68.0,66.0,32.9,6.0,13.7,0.439,1.9,5.3,0.35600000000000004,4.1,8.4,0.491,0.508,3.3,4.1,0.805,0.6,2.4,3.1,3.0,1.0,0.1,2.1,2.6,17.2,21.7,3.5,25.2,evan_fournier,1.4285714285714286
6,6,27.0,ATL,NBA,SF,73.0,64.0,26.9,4.0,9.9,0.409,1.3,3.6,0.34600000000000003,2.8,6.2,0.446,0.473,1.6,2.3,0.708,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,11.0,14.7,4.4,19.1,kent_bazemore,1.411764705882353
13,13,30.0,HOU,NBA,SG,23.0,0.0,25.7,4.4,11.5,0.386,1.8,5.6,0.318,2.7,5.9,0.452,0.464,4.3,4.9,0.867,0.5,2.5,3.0,2.4,0.7,0.4,1.7,1.1,14.9,18.5,3.6,22.1,lou_williams,1.411764705882353
0,0,19.0,LAL,NBA,SF,79.0,40.0,28.8,3.5,8.7,0.402,0.7,2.4,0.294,2.8,6.3,0.443,0.442,1.7,2.7,0.621,0.8,3.2,4.0,2.1,0.6,0.5,1.5,2.0,9.4,12.9,4.300000000000002,17.200000000000006,brandon_ingram,1.4000000000000001
7,7,26.0,CLE,NBA,SG,76.0,31.0,25.5,2.6,6.4,0.411,1.2,3.4,0.36,1.4,3.0,0.469,0.507,0.9,1.2,0.789,0.5,2.4,2.9,1.4,0.8,0.4,1.0,2.0,7.5,9.8,3.6,13.4,iman_shumpert,1.4
15,15,32.0,NYK,NBA,SF,74.0,74.0,34.3,8.1,18.8,0.433,2.0,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,26.9,6.4,33.3,carmelo_anthony,1.380952380952381
6,6,26.0,BOS,NBA,SG,55.0,55.0,33.4,6.5,14.1,0.463,2.0,5.0,0.39,4.6,9.1,0.504,0.5329999999999999,1.2,1.7,0.731,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,16.3,20.3,6.300000000000002,26.6,avery_bradley,1.375
0,0,21.0,BRK,NBA,PG,73.0,26.0,22.5,2.8,7.0,0.402,0.6,2.0,0.295,2.2,4.9,0.446,0.445,1.2,1.5,0.805,0.4,2.1,2.5,2.6,0.6,0.5,1.9,2.4,7.4,11.1,3.2,14.3,isaiah_whitehead,1.368421052631579
10,10,31.0,SAS,NBA,PF,72.0,72.0,32.4,6.9,14.6,0.477,0.3,0.8,0.411,6.6,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,22.1,6.7,28.8,lamarcus_aldridge,1.3571428571428572
6,6,26.0,MIL,NBA,C,81.0,0.0,22.5,4.8,9.0,0.5329999999999999,0.0,0.0,0.0,4.8,8.9,0.536,0.5329999999999999,2.2,3.0,0.741,2.1,4.5,6.6,2.3,1.1,0.5,1.7,2.1,11.7,16.7,6.1,22.8,greg_monroe,1.352941176470588
0,0,23.0,DAL,NBA,PF,81.0,35.0,20.3,1.5,4.1,0.3720000000000001,0.7,2.4,0.293,0.8,1.8,0.479,0.456,0.6,0.8,0.754,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,4.3,6.0,3.0,9.0,dorian_finney_smith,1.3333333333333335
1,1,22.0,BRK,NBA,SF,78.0,50.0,22.6,3.0,6.9,0.434,0.2,0.9,0.224,2.8,6.1,0.463,0.447,2.4,3.2,0.7509999999999999,1.2,4.6,5.8,2.0,1.1,0.6,1.5,2.3,8.7,12.4,6.299999999999999,18.7,rondae_hollis_jefferson,1.3333333333333333
