,PLAYER,TEAM,GP,MPG,PTS,FGM,FGA,FG%,RPG,APG,SPG,BPG,VALUE
162,"Tarczewski, Kaleb",PHI,3.0,13.3,2.3,2.0,5.0,40.0,3.0,0.7,0.3,0.7,7.0
505,"Huff, Cole",TOR,2.0,12.5,3.5,2.0,4.0,50.0,2.0,0.0,1.0,0.5,7.0
347,"Johnson, Jaron",LAC,3.0,11.0,5.0,5.0,12.0,41.7,1.7,0.0,0.0,0.3,7.0
250,"White, Andrew",CLE,3.0,8.3,5.7,6.0,13.0,46.2,1.0,0.3,0.0,0.0,7.0
392,"Moore, Jalen",MIL,3.0,19.3,3.0,3.0,6.0,50.0,3.3,0.3,0.3,0.0,6.8999999999999995
30,"Jaramaz, Ognjen",NYK,5.0,12.6,2.8,1.0,14.0,7.1,2.2,1.6,0.2,0.0,6.8
270,"Dukan, Duje",CHI,3.0,12.3,3.7,3.0,8.0,37.5,1.0,1.0,1.0,0.0,6.7
388,"Kempton, Tim",MIL,3.0,10.7,2.0,2.0,10.0,20.0,3.7,0.3,0.0,0.7,6.7
511,"Mulder, Mychal",TOR,2.0,16.0,4.0,4.0,12.0,33.3,1.0,1.5,0.0,0.0,6.5
451,"Jackson, Joe",PHX,2.0,9.5,1.5,1.0,2.0,50.0,0.5,2.5,2.0,0.0,6.5
324,"Williams, Darrell",GSW,2.0,4.5,4.0,3.0,6.0,50.0,2.0,0.0,0.0,0.5,6.5
342,"Brown, Anthony",LAC,2.0,12.0,2.5,2.0,10.0,20.0,4.0,0.0,0.0,0.0,6.5
180,"Butterfield, Spencer",UTA,2.0,10.5,4.5,3.0,5.0,60.0,2.0,0.0,0.0,0.0,6.5
332,"McCree, Erik",HOU,2.0,18.5,2.5,2.0,8.0,25.0,2.0,1.5,0.5,0.0,6.5
225,"Allen, Kadeem",BOS,3.0,10.0,2.7,4.0,13.0,30.8,2.0,1.0,0.3,0.3,6.3
462,"Cleveland, Antonius",POR,1.0,11.0,4.0,1.0,3.0,33.3,1.0,0.0,1.0,0.0,6.0
563,"Roberts, Jaleel",WAS,1.0,16.0,2.0,1.0,3.0,33.3,1.0,1.0,1.0,1.0,6.0
260,"Jok, Peter",NOP,2.0,10.0,2.5,2.0,6.0,33.3,2.0,0.5,1.0,0.0,6.0
184,"Holmes, Jonathan",UTA,1.0,10.0,3.0,1.0,3.0,33.3,3.0,0.0,0.0,0.0,6.0
213,"Cordinier, Isaia",ATL,2.0,12.5,3.5,3.0,11.0,27.3,2.0,0.5,0.0,0.0,6.0
136,"Bird, Jabari",BOS,3.0,15.3,4.0,4.0,11.0,36.4,0.3,0.7,0.3,0.7,6.0
377,"Mika, Eric",MIA,1.0,8.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0
223,"Solomon, Richard",ATL,3.0,8.3,3.3,3.0,4.0,75.0,1.7,0.0,1.0,0.0,6.0
335,"Peak, L.J.",HOU,2.0,11.0,5.0,4.0,10.0,40.0,0.5,0.0,0.0,0.5,6.0
147,"Wood, Scott",BOS,2.0,9.5,4.0,3.0,5.0,60.0,1.0,1.0,0.0,0.0,6.0
402,"Burton, Deonte",MIN,3.0,14.3,2.0,2.0,13.0,15.4,2.7,0.3,1.0,0.0,6.0
97,"Nnoko, Landry",DET,3.0,11.0,2.0,3.0,7.0,42.9,2.3,0.3,0.0,1.3,5.8999999999999995
308,"Allen, Noah",GSW,3.0,11.3,2.3,3.0,6.0,50.0,3.0,0.3,0.0,0.3,5.8999999999999995
470,"Scott, Josh",POR,3.0,6.7,3.0,3.0,6.0,50.0,1.7,0.7,0.0,0.3,5.7
267,"Arcidiacono, Ryan",CHI,3.0,17.7,2.0,2.0,9.0,22.2,2.0,1.3,0.3,0.0,5.6
117,"York, Gabe",CHA,3.0,12.7,3.3,4.0,14.0,28.6,1.3,1.0,0.0,0.0,5.6
240,"Beverly, Gerald",CLE,3.0,12.0,3.0,2.0,8.0,25.0,2.3,0.0,0.0,0.3,5.6
530,"Tokoto, JP",UTA,2.0,15.5,2.5,2.0,9.0,22.2,2.0,1.0,0.0,0.0,5.5
400,"Zimmerman, Stephen",MIL,2.0,9.0,2.5,2.0,3.0,66.7,2.0,0.5,0.0,0.5,5.5
555,"House, Danuel",WAS,2.0,14.5,1.5,1.0,12.0,8.3,4.0,0.0,0.0,0.0,5.5
424,"Murphy, Kamari",BKN,2.0,12.0,2.0,2.0,6.0,33.3,2.5,0.5,0.0,0.5,5.5
356,"Wiltjer, Kyle",LAC,2.0,11.0,2.0,2.0,9.0,22.2,3.0,0.5,0.0,0.0,5.5
135,"Allen, Rosco",BOS,2.0,7.0,3.5,2.0,3.0,66.7,2.0,0.0,0.0,0.0,5.5
269,"Brimah, Amida",CHI,2.0,8.0,3.0,1.0,1.0,100.0,1.0,0.0,0.0,1.5,5.5
534,"Wright, Julian",UTA,3.0,8.0,2.7,3.0,11.0,27.3,1.7,0.0,0.3,0.7,5.4
349,"Michineau, David",LAC,3.0,6.3,2.0,3.0,4.0,75.0,1.0,1.7,0.7,0.0,5.4
389,"Koenig, Bronson",MIL,3.0,16.3,4.7,5.0,16.0,31.3,0.7,0.0,0.0,0.0,5.4
426,"Pryor, Rodney",BKN,1.0,9.0,3.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,5.0
482,"Mitrou-Long, Naz",SAC,1.0,12.0,3.0,1.0,7.0,14.3,2.0,0.0,0.0,0.0,5.0
459,"Wood, Christian",PHX,3.0,8.0,2.0,3.0,8.0,37.5,2.7,0.0,0.3,0.0,5.0
23,"Saiz, Sebastian",MIA,3.0,10.0,1.7,2.0,5.0,40.0,3.3,0.0,0.0,0.0,5.0
339,"Uthoff, Jarrod",HOU,1.0,7.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,5.0
488,"Bentil, Ben",SAS,1.0,7.0,2.0,1.0,2.0,50.0,3.0,0.0,0.0,0.0,5.0
496,"Lalanne, Cady",SAS,3.0,9.0,2.0,3.0,6.0,50.0,2.3,0.0,0.0,0.7,5.0
375,"Irvin, Zak",MIA,3.0,10.0,1.7,2.0,6.0,33.3,2.3,0.7,0.0,0.0,4.7
272,"Heslip, Brady",CHI,3.0,16.3,2.0,2.0,14.0,14.3,1.7,0.3,0.7,0.0,4.7
494,"Jean-Charles, Livio",SAS,3.0,10.7,2.0,3.0,7.0,42.9,1.7,0.3,0.7,0.0,4.7
45,"Harvey, Tyler",ORL,3.0,7.7,3.0,3.0,8.0,37.5,1.3,0.3,0.0,0.0,4.6
374,"Hammons, AJ",MIA,3.0,13.0,4.0,4.0,9.0,44.4,0.3,0.3,0.0,0.0,4.6
296,"Cornelie, Petr",DEN,2.0,11.0,2.5,2.0,7.0,28.6,1.5,0.5,0.0,0.0,4.5
514,"Reynolds, Jalen",TOR,2.0,8.5,3.0,2.0,5.0,40.0,1.5,0.0,0.0,0.0,4.5
390,"Lewis, JeQuan",MIL,2.0,12.0,1.5,1.0,7.0,14.3,0.5,2.0,0.5,0.0,4.5
433,"Briscoe, Isaiah",PHI,2.0,8.0,2.5,2.0,5.0,40.0,0.0,1.5,0.5,0.0,4.5
86,"Thornton, Marcus",OKC,5.0,13.4,1.8,2.0,11.0,18.2,0.8,1.4,0.4,0.0,4.4
9,"Smith, Jaime",DAL,5.0,14.2,3.6,6.0,18.0,33.3,0.2,0.2,0.2,0.0,4.2
4,"Hornsby, Keith",DAL,5.0,9.0,2.8,6.0,11.0,54.5,1.2,0.2,0.0,0.0,4.2
146,"Thompson, Trevor",BOS,2.0,7.0,0.5,0.0,2.0,0.0,2.5,0.0,0.0,1.0,4.0
326,"de Paula, George",HOU,1.0,15.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,4.0
322,"Rahon, Joe",GSW,1.0,8.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,4.0
215,"Dorsey, Tyler",ATL,3.0,12.3,2.7,4.0,11.0,36.4,1.3,0.0,0.0,0.0,4.0
210,"Britt, Nate",ATL,1.0,10.0,2.0,1.0,4.0,25.0,0.0,2.0,0.0,0.0,4.0
229,"Buford, Perrin",BOS,3.0,9.3,1.0,1.0,8.0,12.5,2.3,0.7,0.0,0.0,4.0
423,"Moore, JJ",BKN,2.0,9.5,2.5,1.0,8.0,12.5,0.5,1.0,0.0,0.0,4.0
313,"Dulkys, Deividas",GSW,1.0,6.0,3.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,4.0
522,"Creek, Mitch",UTA,2.0,10.0,2.0,2.0,5.0,40.0,1.5,0.0,0.5,0.0,4.0
58,"Cesar Lima, Augusto",IND,1.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
214,"Cotton, Bryce",ATL,3.0,17.7,1.3,2.0,14.0,14.3,1.7,0.7,0.0,0.0,3.7
54,"Randolph, Levi",ORL,3.0,11.0,1.7,2.0,9.0,22.2,1.3,0.0,0.7,0.0,3.7
112,"Stephens, Quinton",CHA,2.0,11.0,1.5,1.0,5.0,20.0,1.5,0.0,0.5,0.0,3.5
262,"Lumpkin, Sanjay",NOP,2.0,9.0,0.0,0.0,3.0,0.0,1.5,0.5,0.5,1.0,3.5
362,"Dozier, PJ",LAL,2.0,5.0,1.0,1.0,3.0,33.3,1.5,0.5,0.0,0.5,3.5
53,"Pauli, Oriol",ORL,2.0,5.0,1.0,1.0,2.0,50.0,1.0,0.5,1.0,0.0,3.5
528,"Sobey, Nate",UTA,2.0,10.5,3.0,3.0,10.0,30.0,0.0,0.0,0.5,0.0,3.5
408,"Kingsley, Moses",MIN,2.0,4.5,1.0,1.0,1.0,100.0,1.5,0.0,0.5,0.5,3.5
397,"Upshaw Jr., Reggie",MIL,3.0,9.3,1.3,2.0,6.0,33.3,2.0,0.0,0.0,0.0,3.3
354,"Warney, Jameel",LAC,3.0,4.7,2.0,2.0,4.0,50.0,1.0,0.3,0.0,0.0,3.3
256,"Cousins, Jaleel",NOP,3.0,5.7,2.3,3.0,5.0,60.0,1.0,0.0,0.0,0.0,3.3
323,"Webster, Tai",GSW,3.0,8.7,0.0,0.0,3.0,0.0,1.3,1.7,0.3,0.0,3.3
77,"Hill, Malcolm",OKC,4.0,7.5,1.8,3.0,8.0,37.5,0.8,0.3,0.3,0.0,3.1999999999999997
548,"Williams, Amir",MEM,2.0,5.0,1.0,1.0,3.0,33.3,1.0,0.0,0.5,0.5,3.0
487,"Stuteville, Eric",SAC,1.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0
92,"Hollis-Jefferson, Rahlir",DET,1.0,14.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
378,"Murray Jr., Lamond",MIA,1.0,8.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
565,"Ross, Jalen",WAS,1.0,10.0,2.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,3.0
68,"Niang, Georges",IND,1.0,1.0,2.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,3.0
524,"Holmes, Jonathan",UTA,1.0,5.0,3.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,3.0
321,"Omogbo, Emmanuel",GSW,1.0,3.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0
352,"Thompson, Shevon",LAC,2.0,6.0,0.0,0.0,2.0,0.0,2.5,0.0,0.5,0.0,3.0
48,"Jankovic, Stefan",ORL,2.0,9.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,3.0
294,"Bropleh, Thomas",DEN,1.0,4.0,2.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,3.0
234,"Petteway, Terran",BOS,2.0,6.5,3.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,3.0
237,"Thompson, Trevor",BOS,2.0,4.5,1.0,1.0,2.0,50.0,1.5,0.0,0.0,0.5,3.0
20,"Pelle, Norvel",MIA,2.0,9.0,0.5,0.0,2.0,0.0,1.0,0.0,0.5,1.0,3.0
216,"Ford, Quincy",ATL,1.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0
446,"Atkins, Darion",PHX,1.0,3.0,2.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,3.0
367,"Thomas, Matt",LAL,3.0,8.3,0.7,1.0,6.0,16.7,1.7,0.3,0.0,0.3,2.9999999999999996
226,"Allen, Rosco",BOS,2.0,4.0,1.5,1.0,2.0,50.0,0.5,0.0,0.5,0.0,2.5
544,"Rudd, Victor",MEM,2.0,5.5,1.0,1.0,2.0,50.0,0.5,0.5,0.5,0.0,2.5
290,"Spieth, Steven",DAL,3.0,4.7,0.7,0.0,1.0,0.0,1.3,0.0,0.0,0.3,2.3
527,"Purvis, Rodney",UTA,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
512,"Okonoboh, Goodluck",TOR,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
566,"Simmons, Rayshawn",WAS,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
39,"Cameron, Reggie",ORL,2.0,4.0,1.0,1.0,1.0,100.0,0.0,0.5,0.5,0.0,2.0
41,"Dunham, Kellen",ORL,2.0,5.5,1.0,1.0,4.0,25.0,1.0,0.0,0.0,0.0,2.0
306,"Walker, David",DEN,3.0,8.0,1.0,1.0,3.0,33.3,0.3,0.7,0.0,0.0,2.0
8,"Singh, Satnam",DAL,3.0,5.7,1.3,2.0,5.0,40.0,0.7,0.0,0.0,0.0,2.0
458,"Stockton, David",PHX,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
506,"Keita, Tidjan",TOR,1.0,2.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0
143,"Petteway, Terran",BOS,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.3,0.3,0.0,1.6
491,"Early, Cleanthony",SAS,2.0,8.0,1.0,1.0,1.0,100.0,0.5,0.0,0.0,0.0,1.5
235,"Smith, Scoochie",BOS,2.0,4.5,0.5,0.0,3.0,0.0,0.5,0.5,0.0,0.0,1.5
401,"Beachem, V.J.",MIN,2.0,12.0,0.5,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.5
98,"Simmons, Marcus",DET,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.5
1,"Bako, Ismael",DAL,4.0,4.5,0.5,1.0,4.0,25.0,0.8,0.0,0.0,0.0,1.3
529,"Southerland, James",UTA,1.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
181,"Creek, Mitch",UTA,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
219,"Lockett, Trent",ATL,1.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
299,"Johnson, Xavier",DEN,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
465,"Daniels, DeAndre",POR,2.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
286,"Graham, Torian",DAL,3.0,3.7,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0
263,"Mathews, Jordan",NOP,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
161,"Reynolds, Darryl",PHI,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
542,"Morgan, Jeremy",MEM,1.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
78,"Hines, Shaquille",OKC,3.0,4.7,0.7,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.7
547,"Washpun, Wes",MEM,3.0,2.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
238,"Wood, Scott",BOS,2.0,3.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5
383,"Saiz, Sebastian",MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,"Rabb, Ivan",MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,"Sobey, Nate",UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,"Pelle, Norvel",MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,"Patton, Justin",MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,"Monk, Malik",CHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,"Sabonis, Domantas",OKC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"Freeman, Trey",DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,"Hooper, Max",WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,"Davis, Will",DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,"Humphries, Issac",WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,"Carmichael, Jackie",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,"Polonara, Achille",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"Webster, Tai",CHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,"Williams, Devin",CHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,"Roberson, Tyler",MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553,"Hannibal, Jasonn",WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,"Baker, Ian",WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"Ndour, Maurice",NYK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,"Allen, Jarrett",BKN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,"Robinson, James",SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,"Early, Cleanthony",SAS,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"Ntilikina, Frank",NYK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,"Robinson, James",SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,"Hearn, Reggie",SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,"Anunoby, OG",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,"Jackson, Frank",NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,"Crawford, Jordan",NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,"Hawkins, Dominique",SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,"Giles, Harry",SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,"Chamberlain, Mashawn",NOP,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,"Miller, Malcolm",TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,"McLean, Tre",PHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,"Howard, William",MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,"Iroegbu, Ike",PHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,"Harrison, Shaquille",PHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,"Thompson, Shevon",ORL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,"Sant-Roos, Howard",DEN,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
310,"Boucher, Chris",GSW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,"Jaiteh, Mouhammadou",PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,"Harper, Justin",GSW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,"Buford, Perrin",BOS,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
422,"McCall, Tahjere",BKN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"Ferguson, Terrance",OKC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,"Cowels, Ray",MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,"Singh, Satnam",DAL,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Karnowski, Przemek",ORL,,,,,,61.5,,,,,
108,"Karnowski, Przemek",CHA,,,,,,61.5,,,,,
118,1. Bryn Forbes SAS,21.3,,,,,,,,,,,
119,2. Markelle Fultz PHI,20.0,,,,,,,,,,,
120,3. Dante Exum UTA,20.0,,,,,,,,,,,
121,4. Jayson Tatum BOS,18.7,,,,,,,,,,,
122,5. Jaylen Brown BOS,17.5,,,,,,,,,,,
123,1. Jaylen Brown BOS,10.5,,,,,,,,,,,
124,2. Jayson Tatum BOS,9.7,,,,,,,,,,,
125,3. Cory Jefferson SAS,7.3,,,,,,,,,,,
126,4. Isaiah Miles PHI,7.0,,,,,,,,,,,
127,5. Julian Wright UTA,6.5,,,,,,,,,,,
128,1. Dante Exum UTA,6.3,,,,,,,,,,,
129,2. Larry Drew II PHI,5.0,,,,,,,,,,,
130,3. Dejounte Murray SAS,4.5,,,,,,,,,,,
131,4. Timothe Luwawu-Cabarrot PHI,4.0,,,,,,,,,,,
132,5. Donovan Mitchell UTA,3.3,,,,,,,,,,,
133,,,,,,,,,,,,,
193,1. Bryn Forbes SAS,29.3,,,,,,,,,,,
194,2. Donovan Mitchell UTA,28.0,,,,,,,,,,,
195,3. Brandon Ingram LAL,26.0,,,,,,,,,,,
196,4. Troy Williams HOU,25.7,,,,,,,,,,,
197,5. Malik Beasley DEN,22.7,,,,,,,,,,,
198,1. Matt Costello MIN,12.3,,,,,,,,,,,
199,2. Caleb Swanigan POR,11.0,,,,,,,,,,,
200,3. John Collins ATL,10.7,,,,,,,,,,,
201,4. Jakob Poeltl TOR,10.0,,,,,,,,,,,
202,5. Cheick Diallo NOP,9.3,,,,,,,,,,,
203,1. Lonzo Ball LAL,8.0,,,,,,,,,,,
204,2. Kendall Marshall LAC,8.0,,,,,,,,,,,
205,3. Isaiah Taylor HOU,8.0,,,,,,,,,,,
206,4. Fred VanVleet TOR,5.7,,,,,,,,,,,
207,5. Larry Drew II PHI,5.3,,,,,,,,,,,
208,,,,,,,,,,,,,
